AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,class
7108,325.944,128.1424,71.7836,0.8284,95.1325,0.9734,7302,0.7653,1.7851,0.8408,0.7424,0.018,0.0101,0.5512,0.9839,Arborio
7697,344.692,140.2077,70.6754,0.8637,98.9956,0.9791,7861,0.681,1.9838,0.8141,0.7061,0.0182,0.0092,0.4985,0.989,Arborio
7455,334.586,132.959,72.1631,0.8399,97.4269,0.9759,7639,0.7488,1.8425,0.8368,0.7328,0.0178,0.0097,0.5369,0.9893,Arborio
8509,363.516,146.2398,75.2409,0.8575,104.0865,0.9702,8770,0.6986,1.9436,0.8092,0.7118,0.0172,0.0088,0.5066,0.9846,Arborio
8011,346.141,139.4809,74.0371,0.8475,100.9947,0.9825,8154,0.6571,1.8839,0.8402,0.7241,0.0174,0.0092,0.5243,0.9877,Arborio
7231,338.663,138.4721,67.5997,0.8727,95.952,0.972,7439,0.7434,2.0484,0.7923,0.6929,0.0191,0.0093,0.4802,0.9836,Arborio
5317,274.52,104.1585,66.044,0.7733,82.2789,0.9729,5465,0.7161,1.5771,0.8866,0.7899,0.0196,0.0124,0.624,0.9841,Arborio
7547,339.069,140.6321,68.6986,0.8726,98.0262,0.984,7670,0.7337,2.0471,0.8249,0.697,0.0186,0.0091,0.4859,0.9946,Arborio
7839,350.217,143.4636,70.3965,0.8713,99.9046,0.98,7999,0.7777,2.0379,0.8031,0.6964,0.0183,0.009,0.4849,0.9883,Arborio
7689,345.288,140.1947,70.6515,0.8637,98.9441,0.9786,7857,0.7418,1.9843,0.8104,0.7058,0.0182,0.0092,0.4981,0.9884,Arborio
7899,346.628,142.6119,70.914,0.8676,100.2862,0.9832,8034,0.7781,2.0111,0.8261,0.7032,0.0181,0.009,0.4945,0.9945,Arborio
7094,337.713,140.7749,64.8607,0.8875,95.0387,0.9767,7263,0.6272,2.1704,0.7816,0.6751,0.0198,0.0091,0.4558,0.9892,Arborio
7704,338.318,132.8774,74.3958,0.8286,99.0406,0.9773,7883,0.6641,1.7861,0.8458,0.7454,0.0172,0.0097,0.5556,0.9923,Arborio
5012,277.672,114.6263,56.3848,0.8707,79.8841,0.9778,5126,0.664,2.0329,0.8169,0.6969,0.0229,0.0112,0.4857,0.9874,Arborio
7653,341.452,141.2105,69.4246,0.8708,98.7122,0.981,7801,0.6821,2.034,0.8249,0.699,0.0185,0.0091,0.4887,0.9939,Arborio
7001,332.747,141.1747,63.4106,0.8934,94.4137,0.9851,7107,0.5798,2.2264,0.7946,0.6688,0.0202,0.0091,0.4473,0.9958,Arborio
7785,340.469,138.7039,71.8989,0.8552,99.5599,0.9799,7945,0.637,1.9292,0.8439,0.7178,0.0178,0.0092,0.5152,0.9939,Arborio
8608,355.445,137.3683,80.8958,0.8082,104.6902,0.9734,8843,0.6975,1.6981,0.8562,0.7621,0.016,0.0094,0.5808,0.9863,Arborio
6584,329.025,138.4269,61.3992,0.8962,91.5588,0.9795,6722,0.5771,2.2545,0.7643,0.6614,0.021,0.0093,0.4375,0.9863,Arborio
7811,342.178,139.8779,71.2939,0.8604,99.726,0.9826,7949,0.7602,1.962,0.8383,0.713,0.0179,0.0091,0.5083,0.9973,Arborio
6625,316.293,128.8006,66.1819,0.8579,91.8434,0.9834,6737,0.6939,1.9462,0.8322,0.7131,0.0194,0.01,0.5085,0.9896,Arborio
8052,359.926,149.044,69.815,0.8835,101.2528,0.9752,8257,0.7023,2.1348,0.7811,0.6793,0.0185,0.0087,0.4615,0.9853,Arborio
7203,318.103,123.8036,74.6744,0.7976,95.7661,0.9871,7297,0.7733,1.6579,0.8945,0.7735,0.0172,0.0104,0.5984,0.992,Arborio
8819,364.285,147.6351,76.5743,0.855,105.9656,0.9822,8979,0.7417,1.928,0.8351,0.7178,0.0167,0.0087,0.5152,0.9932,Arborio
6676,320.469,127.212,67.7915,0.8462,92.1962,0.9745,6851,0.687,1.8765,0.8169,0.7247,0.0191,0.0102,0.5253,0.9857,Arborio
6876,323.96,128.2441,69.3119,0.8414,93.5671,0.9731,7066,0.6998,1.8502,0.8233,0.7296,0.0187,0.0101,0.5323,0.9849,Arborio
7782,344.635,140.223,71.4365,0.8605,99.5407,0.9794,7946,0.6734,1.9629,0.8233,0.7099,0.018,0.0092,0.5039,0.9891,Arborio
7261,329.509,132.177,70.8537,0.8442,96.1509,0.9792,7415,0.7741,1.8655,0.8404,0.7274,0.0182,0.0098,0.5292,0.9872,Arborio
8089,350.333,146.0078,70.8166,0.8745,101.4851,0.9835,8225,0.7591,2.0618,0.8282,0.6951,0.0181,0.0088,0.4831,0.9961,Arborio
7256,336.274,139.0877,67.5233,0.8743,96.1178,0.9808,7398,0.7406,2.0598,0.8063,0.6911,0.0192,0.0093,0.4776,0.9837,Arborio
7918,359.997,151.351,67.4489,0.8952,100.4067,0.9733,8135,0.5661,2.2439,0.7678,0.6634,0.0191,0.0085,0.4401,0.9876,Arborio
6411,311.852,124.7975,66.1819,0.8478,90.3479,0.9803,6540,0.6972,1.8857,0.8284,0.724,0.0195,0.0103,0.5241,0.9883,Arborio
7990,356.548,146.8208,70.1186,0.8786,100.8622,0.9753,8192,0.5942,2.0939,0.7898,0.687,0.0184,0.0088,0.4719,0.9882,Arborio
8471,361.937,148.5111,73.3229,0.8696,103.8538,0.9735,8702,0.6577,2.0254,0.8126,0.6993,0.0175,0.0087,0.489,0.9905,Arborio
7701,339.549,136.3783,72.3991,0.8475,99.0213,0.9805,7854,0.7148,1.8837,0.8394,0.7261,0.0177,0.0094,0.5272,0.9931,Arborio
7295,332.627,134.4241,69.7209,0.855,96.3757,0.9788,7453,0.6761,1.928,0.8286,0.717,0.0184,0.0096,0.514,0.991,Arborio
6546,314.705,126.0962,67.3585,0.8454,91.2942,0.9823,6664,0.7693,1.872,0.8306,0.724,0.0193,0.0103,0.5242,0.9813,Arborio
7279,332.422,138.243,67.5312,0.8726,96.27,0.986,7382,0.6205,2.0471,0.8278,0.6964,0.019,0.0093,0.4849,0.9927,Arborio
7240,326.069,128.8238,72.5375,0.8264,96.0117,0.98,7388,0.6925,1.776,0.8557,0.7453,0.0178,0.01,0.5555,0.9865,Arborio
7046,327.957,133.2481,68.0782,0.8596,94.7167,0.9844,7158,0.6276,1.9573,0.8232,0.7108,0.0189,0.0097,0.5053,0.989,Arborio
7407,341.021,137.8498,69.1232,0.8652,97.1127,0.9764,7586,0.6894,1.9943,0.8004,0.7045,0.0186,0.0093,0.4963,0.9897,Arborio
7444,331.05,131.8527,72.7163,0.8342,97.355,0.9781,7611,0.6356,1.8132,0.8536,0.7384,0.0177,0.0098,0.5452,0.9885,Arborio
8099,358.64,147.1783,71.0385,0.8758,101.5479,0.9715,8337,0.6168,2.0718,0.7913,0.69,0.0182,0.0088,0.4761,0.9863,Arborio
7791,346.044,137.614,73.1594,0.847,99.5982,0.9748,7992,0.6235,1.881,0.8176,0.7238,0.0177,0.0094,0.5238,0.9853,Arborio
9034,375.424,152.411,76.2994,0.8657,107.2495,0.97,9313,0.7822,1.9975,0.8055,0.7037,0.0169,0.0084,0.4952,0.9891,Arborio
8230,352.922,141.8945,74.6514,0.8504,102.3658,0.9718,8469,0.6704,1.9008,0.8303,0.7214,0.0172,0.0091,0.5204,0.9893,Arborio
8303,362.225,145.345,73.6015,0.8623,102.8188,0.9655,8600,0.6712,1.9748,0.7952,0.7074,0.0175,0.0089,0.5004,0.9882,Arborio
8640,367.311,147.1934,75.5912,0.8581,104.8847,0.9718,8891,0.7484,1.9472,0.8047,0.7126,0.017,0.0087,0.5077,0.9887,Arborio
8905,373.093,154.275,74.2039,0.8767,106.481,0.9777,9108,0.6585,2.0791,0.8039,0.6902,0.0173,0.0083,0.4764,0.9904,Arborio
6942,321.057,131.3307,67.8711,0.8561,94.015,0.9864,7038,0.7387,1.935,0.8463,0.7159,0.0189,0.0098,0.5125,0.9916,Arborio
8644,364.984,146.6421,76.584,0.8528,104.9089,0.9771,8847,0.6262,1.9148,0.8154,0.7154,0.017,0.0089,0.5118,0.98,Arborio
8802,372.993,149.6964,75.8672,0.8621,105.8634,0.9651,9120,0.708,1.9731,0.795,0.7072,0.017,0.0086,0.5001,0.9868,Arborio
7063,330.551,134.6722,67.7758,0.8641,94.8309,0.9737,7254,0.704,1.987,0.8123,0.7042,0.0191,0.0096,0.4958,0.9853,Arborio
8415,359.606,144.095,75.22,0.8529,103.51,0.9734,8645,0.6489,1.9156,0.8177,0.7183,0.0171,0.0089,0.516,0.9885,Arborio
6691,326.821,132.8363,64.9961,0.8721,92.2998,0.9711,6890,0.6772,2.0438,0.7872,0.6948,0.0199,0.0097,0.4828,0.9867,Arborio
8083,362.117,145.697,72.1016,0.869,101.4475,0.9593,8426,0.7585,2.0207,0.7746,0.6963,0.018,0.0089,0.4848,0.9797,Arborio
8272,360.538,149.427,70.7266,0.8809,102.6267,0.9795,8445,0.6886,2.1127,0.7997,0.6868,0.0181,0.0086,0.4717,0.9966,Arborio
7188,328.409,134.1506,68.7409,0.8587,95.6663,0.9776,7353,0.6984,1.9515,0.8375,0.7131,0.0187,0.0096,0.5085,0.9925,Arborio
7440,335.373,136.0751,70.2167,0.8566,97.3288,0.981,7584,0.7265,1.9379,0.8312,0.7153,0.0183,0.0094,0.5116,0.9914,Arborio
7371,339.424,136.7726,69.4084,0.8617,96.8765,0.9711,7590,0.7015,1.9705,0.804,0.7083,0.0186,0.0094,0.5017,0.9886,Arborio
6885,320.066,129.7817,68.0983,0.8513,93.6283,0.9817,7013,0.6487,1.9058,0.8446,0.7214,0.0188,0.0099,0.5205,0.9919,Arborio
8233,368.836,150.7036,71.1746,0.8814,102.3845,0.9688,8498,0.6001,2.1174,0.7605,0.6794,0.0183,0.0086,0.4616,0.9773,Arborio
7778,337.076,133.7255,74.558,0.8301,99.5151,0.9827,7915,0.7387,1.7936,0.8602,0.7442,0.0172,0.0096,0.5538,0.9933,Arborio
